代码,	 时间,	 拉升涨幅,	 拉升成交量(手),	 t+1涨幅,	 t+2涨幅,	 t+3涨幅,	 t+4涨幅,	 6日最高涨幅
SH600749,	 2015-09-18	,0.049398	,27792.000000	,0.056729	,0.074231	,0.032589	,0.013881	,0.074231
SH600750,	 2015-07-15	,0.139742	,14881.000000	,0.099950	,0.119839	,0.057150	,0.037009	,0.119839
SH600750,	 2015-08-25	,0.134018	,51059.000000	,0.073674	,0.081217	,0.164948	,0.269801	,0.269801
SH600750,	 2015-09-15	,0.056338	,17443.000000	,0.063830	,0.031915	,-0.002553	,-0.017234	,0.063830
SH600753,	 2015-08-27	,0.147253	,6202.000000	,0.077216	,0.072450	,-0.037178	,-0.101049	,0.077216
SH600753,	 2015-10-20	,0.035855	,3456.000000	,0.097979	,0.182234	,0.276401	,0.404117	,0.404117
SH600753,	 2015-10-21	,0.119141	,11998.000000	,0.083887	,0.170220	,0.287312	,0.296749	,0.296749
SH600753,	 2015-10-23	,0.046250	,17011.000000	,0.100060	,0.108124	,0.095579	,0.075269	,0.108124
SH600755,	 2015-09-02	,0.038244	,53608.000000	,0.062674	,0.064067	,0.110028	,0.169916	,0.169916
SH600758,	 2015-07-22	,0.041667	,14288.000000	,0.099634	,-0.080586	,-0.129670	,-0.152381	,0.099634
SH600759,	 2015-07-06	,0.143201	,78881.000000	,0.100108	,0.209903	,0.184069	,0.146394	,0.209903
SH600760,	 2015-06-12	,0.080357	,42328.000000	,0.057422	,0.030200	,0.000425	,0.070608	,0.070608
SH600760,	 2015-09-08	,0.077824	,26111.000000	,0.072568	,0.100478	,0.063796	,0.052632	,0.100478
SH600763,	 2015-04-10	,0.039516	,2752.000000	,0.099958	,0.210010	,0.247722	,0.247722	,0.247722
SH600765,	 2015-08-27	,0.069950	,40484.000000	,0.099895	,0.139121	,0.019874	,-0.041318	,0.139121
SH600767,	 2015-05-28	,0.050491	,27799.000000	,0.100168	,0.202010	,0.235511	,0.222111	,0.235511
SH600768,	 2015-06-17	,0.095938	,9075.000000	,0.050058	,-0.067319	,-0.140391	,-0.130898	,0.050058
SH600770,	 2015-09-08	,0.048649	,85077.000000	,0.073271	,0.043344	,0.057792	,0.051600	,0.073271
SH600773,	 2015-09-08	,0.045850	,47241.000000	,0.099472	,0.088169	,0.100226	,0.168048	,0.168048
SH600774,	 2015-06-26	,0.094182	,7290.000000	,0.076770	,0.113659	,0.093719	,-0.043868	,0.113659
SH600781,	 2015-08-27	,0.041860	,7044.000000	,0.098907	,0.153552	,0.106557	,0.010929	,0.153552
SH600781,	 2015-09-08	,0.034072	,4419.000000	,0.063193	,0.036585	,0.052106	,0.100333	,0.100333
SH600782,	 2015-09-28	,0.057447	,24847.000000	,0.058943	,0.134146	,0.119919	,0.075203	,0.134146
SH600783,	 2015-04-23	,0.053457	,35957.000000	,0.070994	,0.038415	,0.028446	,0.026258	,0.070994
SH600784,	 2015-01-23	,0.078170	,114642.000000	,0.095491	,0.130858	,0.088417	,0.086649	,0.130858
SH600784,	 2015-02-02	,0.041667	,41037.000000	,0.089491	,0.030378	,-0.004926	,-0.050082	,0.089491
SH600784,	 2015-04-16	,0.062332	,37467.000000	,0.073155	,-0.007634	,-0.037532	,-0.026718	,0.073155
SH600785,	 2015-07-08	,0.138520	,21060.000000	,0.100306	,0.210398	,0.331498	,0.464832	,0.464832
